track,artist,album,popularity_score,track_id,track_uri,spotify_link,preview,album_image_large,album_image_small,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Climbing a Wall,Floral,Floral EP,39,2GZLWeDxVyCxDBdVzVjbMi,spotify:track:2GZLWeDxVyCxDBdVzVjbMi,https://open.spotify.com/track/2GZLWeDxVyCxDBdVzVjbMi,https://p.scdn.co/mp3-preview/e9074cec5dbf81b07cf8f6e6d9b202d4104de9bf?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e024ffed723e27ea3d2e7f04747,https://i.scdn.co/image/ab67616d000048514ffed723e27ea3d2e7f04747,0.29,0.751,11,-5.853,1,0.0436,0.0177,0.286,0.089,0.678,151.097,219266,1
ROXANNE,Arizona Zervas,ROXANNE,88,696DnlkuDOXcMAnKlTgXXK,spotify:track:696DnlkuDOXcMAnKlTgXXK,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,https://p.scdn.co/mp3-preview/17c8499c72603f1a2726dd121eb245c445d1dd84?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02069a93617a916760ab88ffea,https://i.scdn.co/image/ab67616d00004851069a93617a916760ab88ffea,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636,5
I'm God,Clams Casino,Instrumental Relics,63,0FVuyC9RP5MACjp4lgU3qZ,spotify:track:0FVuyC9RP5MACjp4lgU3qZ,https://open.spotify.com/track/0FVuyC9RP5MACjp4lgU3qZ,https://p.scdn.co/mp3-preview/b3b4e58ac20fe9b9eb96f6728cf784f8086b96c3?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e029dd5e36b53cdc72c1780c70a,https://i.scdn.co/image/ab67616d000048519dd5e36b53cdc72c1780c70a,0.529,0.641,2,-6.78,1,0.0336,0.0711,0.76,0.102,0.089,141.927,277711,4
Thank You,Dido,No Angel,71,3yUcJwYu7fXAfqMj9krY6l,spotify:track:3yUcJwYu7fXAfqMj9krY6l,https://open.spotify.com/track/3yUcJwYu7fXAfqMj9krY6l,https://p.scdn.co/mp3-preview/61c1b2d6f13f53afd872fed81bb56c06eb786b31?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e023e5cbf3b3ac5905cb68377d5,https://i.scdn.co/image/ab67616d000048513e5cbf3b3ac5905cb68377d5,0.725,0.583,1,-9.942,0,0.0424,0.3,0.000215,0.0665,0.765,79.984,218360,4
BLIND (feat. Young Thug),DaBaby,BLAME IT ON BABY (DELUXE),79,2T5NBwKRySiCR78vVk08vr,spotify:track:2T5NBwKRySiCR78vVk08vr,https://open.spotify.com/track/2T5NBwKRySiCR78vVk08vr,https://p.scdn.co/mp3-preview/0d8eb3d8a247f65d58e4c9098025048a033aeea6?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02e818d05b79be19f4d49f1ebf,https://i.scdn.co/image/ab67616d00004851e818d05b79be19f4d49f1ebf,0.709,0.679,11,-6.503,0,0.346,0.0115,0.0,0.0971,0.754,162.973,153467,4
Opaul,Freddie Dredd,Pink Lotus,66,4areFtLMjGt4GmO4IAbGo0,spotify:track:4areFtLMjGt4GmO4IAbGo0,https://open.spotify.com/track/4areFtLMjGt4GmO4IAbGo0,https://p.scdn.co/mp3-preview/3ef6e974469be45db50ef3f6ac4276f41f5c7008?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02d03785328284a3947df7bcfc,https://i.scdn.co/image/ab67616d00004851d03785328284a3947df7bcfc,0.815,0.884,1,-4.146,1,0.213,0.00555,0.498,0.0983,0.638,145.031,140488,4
Roses Remix (feat. Future),SAINt JHN,Roses Remix (feat. Future),71,1KyZ4rUiW2lkqGNLQYKpcC,spotify:track:1KyZ4rUiW2lkqGNLQYKpcC,https://open.spotify.com/track/1KyZ4rUiW2lkqGNLQYKpcC,https://p.scdn.co/mp3-preview/af9080fbaac455c0208afa2c54f830631ddba896?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e021dec94e7819198e1d013f137,https://i.scdn.co/image/ab67616d000048511dec94e7819198e1d013f137,0.941,0.463,8,-5.993,1,0.113,0.0247,5.53e-05,0.192,0.312,127.003,187898,4
Many Men,21 Savage,SAVAGE MODE II,75,3CDVMejYHnB1SkEEx0T1N4,spotify:track:3CDVMejYHnB1SkEEx0T1N4,https://open.spotify.com/track/3CDVMejYHnB1SkEEx0T1N4,https://p.scdn.co/mp3-preview/850704c41a453d9a4edf640cc8644ac57b64b670?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02aa57907bf0cb2ca0c8cc74bc,https://i.scdn.co/image/ab67616d00004851aa57907bf0cb2ca0c8cc74bc,0.635,0.793,10,-4.333,0,0.0322,0.000647,0.747,0.113,0.281,77.594,201856,4
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",88,2MbdDtCv5LUVjYy9RuGTgC,spotify:track:2MbdDtCv5LUVjYy9RuGTgC,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC,https://p.scdn.co/mp3-preview/3748f897bbea6068b383ea857ace01b9a5236a06?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02b5f0a8d46cef9647548c64dc,https://i.scdn.co/image/ab67616d00004851b5f0a8d46cef9647548c64dc,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,227478,4
Do My Dance,Tyga,Do My Dance,56,7Hk12JkCFwLO4s1jRGBS6s,spotify:track:7Hk12JkCFwLO4s1jRGBS6s,https://open.spotify.com/track/7Hk12JkCFwLO4s1jRGBS6s,https://p.scdn.co/mp3-preview/05afc686308b60b75cbbef5ff9b941ea00cee02c?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e028dd3aa839f21c4619f84c0f9,https://i.scdn.co/image/ab67616d000048518dd3aa839f21c4619f84c0f9,0.838,0.618,9,-5.187,1,0.0805,0.00357,0.00166,0.132,0.746,153.95,214293,4
