track,track_id,duration_ms,spotify_link,preview
Beautiful Trip,4IIuCotvqijraSdnVLaFnM,37013,https://open.spotify.com/track/4IIuCotvqijraSdnVLaFnM,https://p.scdn.co/mp3-preview/05edcc06fc085a58a9faefd434d1c400aa79e6fb?cid=01e5c3c39a334ae78bf5becf053ad2d5
Tequila Shots,30KctD1WsHKTIYczXjip5a,193293,https://open.spotify.com/track/30KctD1WsHKTIYczXjip5a,https://p.scdn.co/mp3-preview/eea2485b714dffabc02be38b0d1301f1b65d75d3?cid=01e5c3c39a334ae78bf5becf053ad2d5
Another Day,6myUpr3GDR80Dg3zqNTmmG,199787,https://open.spotify.com/track/6myUpr3GDR80Dg3zqNTmmG,https://p.scdn.co/mp3-preview/0270d8150fcbd742698b28fdfa769661cff59226?cid=01e5c3c39a334ae78bf5becf053ad2d5
She Knows This,1xzUQMiCoY5pdego0pHMeV,216560,https://open.spotify.com/track/1xzUQMiCoY5pdego0pHMeV,https://p.scdn.co/mp3-preview/29dc43127abc4fdee4392c5a806707773b0ac67f?cid=01e5c3c39a334ae78bf5becf053ad2d5
Dive,7Hc3YL8oDiAzbiAW32KXrw,148707,https://open.spotify.com/track/7Hc3YL8oDiAzbiAW32KXrw,https://p.scdn.co/mp3-preview/89e0c1d79d7d17f4107ea2eb8999f8a3ac6e4745?cid=01e5c3c39a334ae78bf5becf053ad2d5
Damaged,2n7Ao4nyESBa5ti8gcAbBt,150853,https://open.spotify.com/track/2n7Ao4nyESBa5ti8gcAbBt,https://p.scdn.co/mp3-preview/393f2cf8af310e8347d3938ff05be5c4b7e9b7e7?cid=01e5c3c39a334ae78bf5becf053ad2d5
Heaven On Earth,2koUj1Fn5TKFEkChSmBPIb,201093,https://open.spotify.com/track/2koUj1Fn5TKFEkChSmBPIb,https://p.scdn.co/mp3-preview/2835c7cd7c80c80ce06d6286dd2af2f5f931a590?cid=01e5c3c39a334ae78bf5becf053ad2d5
Show Out (with Skepta & Pop Smoke),5CFJRZRq6sdKKtRwNPWbYv,174960,https://open.spotify.com/track/5CFJRZRq6sdKKtRwNPWbYv,https://p.scdn.co/mp3-preview/7b310f6822a15aea4bad9271f9e721b5fdd4cfbc?cid=01e5c3c39a334ae78bf5becf053ad2d5
"Solo Dolo, Pt. III",27oVCAziETRbNuo5A8LNpg,242267,https://open.spotify.com/track/27oVCAziETRbNuo5A8LNpg,https://p.scdn.co/mp3-preview/c461629a7f1acf319f28f8df78d0b0224c7a4413?cid=01e5c3c39a334ae78bf5becf053ad2d5
Sad People,4nuAslShoN77tq12fzwjUq,176027,https://open.spotify.com/track/4nuAslShoN77tq12fzwjUq,https://p.scdn.co/mp3-preview/a2e8a2ffade8b8920fa70d7b8f0024c553142df1?cid=01e5c3c39a334ae78bf5becf053ad2d5
Elsie's Baby Boy (flashback),6jiwr6xTHqjdun5d3cEwXV,219213,https://open.spotify.com/track/6jiwr6xTHqjdun5d3cEwXV,https://p.scdn.co/mp3-preview/62530a94d72e26132d9dc734db420d5de7233c51?cid=01e5c3c39a334ae78bf5becf053ad2d5
Sept. 16,3Uw2se3aQU1UFrpRBvBnB4,249040,https://open.spotify.com/track/3Uw2se3aQU1UFrpRBvBnB4,https://p.scdn.co/mp3-preview/62578afedb81632edeae158978f79c70c9239855?cid=01e5c3c39a334ae78bf5becf053ad2d5
The Void,2yg7MXp8nSPaf61HVkhEr3,325413,https://open.spotify.com/track/2yg7MXp8nSPaf61HVkhEr3,https://p.scdn.co/mp3-preview/698c2b64f5d5d4b01e465a7d3ff8898b100c05cc?cid=01e5c3c39a334ae78bf5becf053ad2d5
Lovin’ Me (feat. Phoebe Bridgers),3JdwGk8j7lHN5qdzJZklam,165893,https://open.spotify.com/track/3JdwGk8j7lHN5qdzJZklam,https://p.scdn.co/mp3-preview/fe1dcbc39d22cd332c3462cec3f67a83b6f4dd3c?cid=01e5c3c39a334ae78bf5becf053ad2d5
The Pale Moonlight,4EjbAh7YHU3VARkfkamZ8R,176293,https://open.spotify.com/track/4EjbAh7YHU3VARkfkamZ8R,https://p.scdn.co/mp3-preview/e7c6614a297ba66427671b330ac7049c82c1b007?cid=01e5c3c39a334ae78bf5becf053ad2d5
Rockstar Knights (with Trippie Redd),4J9SI7do4KOEsCexqEbjmR,231467,https://open.spotify.com/track/4J9SI7do4KOEsCexqEbjmR,https://p.scdn.co/mp3-preview/d0610339176bd8c2dfbc25f2ca3176493e394954?cid=01e5c3c39a334ae78bf5becf053ad2d5
4 Da Kidz,2ZDRkJrKbceJRgLKkuex14,184240,https://open.spotify.com/track/2ZDRkJrKbceJRgLKkuex14,https://p.scdn.co/mp3-preview/63c613329bc5c48a0e0481b16eae098616c84d49?cid=01e5c3c39a334ae78bf5becf053ad2d5
Lord I Know,7f2voPcnDEAzX4yB8SLnU2,212040,https://open.spotify.com/track/7f2voPcnDEAzX4yB8SLnU2,https://p.scdn.co/mp3-preview/db8ec4c01236346ae2ea99211e78795955a44b88?cid=01e5c3c39a334ae78bf5becf053ad2d5
