track,artist,track_id,data_type,popularity_artist,popularity_song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,alternative,baltic_slavic,bluegrass,blues,celtic,country,dance,disco,edm,electro,english,folk,germanic,hip hop,house,jam band,jazz,other,piano,pop,psychedelic,punk,r&b,rap,reggae,rock,romance,soul,south_american,swing,techno,trance,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,release_date_2000s,release_date_60s,release_date_70s,release_date_80s,release_date_90s,release_date_Post_2010s,time_signature_1,time_signature_3,time_signature_4,time_signature_5
Beautiful Trip,Kid Cudi,4IIuCotvqijraSdnVLaFnM,album,0.89,0.69,0.331,0.513,0.25653333333333334,0.632,0.972,0.953,0.882,0.42,0.523901263478924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Tequila Shots,Kid Cudi,30KctD1WsHKTIYczXjip5a,album,0.89,0.83,0.7120000000000001,0.556,0.12023333333333333,0.0531,0.084,5.04e-05,0.527,0.22,0.22792996405620297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Another Day,Kid Cudi,6myUpr3GDR80Dg3zqNTmmG,album,0.89,0.76,0.6459999999999999,0.758,0.12916666666666668,0.0708,0.556,0.00316,0.335,0.0642,0.7895585992811243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
She Knows This,Kid Cudi,1xzUQMiCoY5pdego0pHMeV,album,0.89,0.78,0.39,0.7240000000000001,0.12678333333333333,0.0889,0.162,0.0,0.39299999999999996,0.312,0.7415654612787279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Dive,Kid Cudi,7Hc3YL8oDiAzbiAW32KXrw,album,0.89,0.73,0.64,0.621,0.13781666666666667,0.0679,0.67,0.0,0.36,0.332,0.4499305631194859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Damaged,Kid Cudi,2n7Ao4nyESBa5ti8gcAbBt,album,0.89,0.72,0.625,0.581,0.11833333333333333,0.0316,0.5529999999999999,0.0011099999999999999,0.254,0.267,0.5788312819954253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Heaven On Earth,Kid Cudi,2koUj1Fn5TKFEkChSmBPIb,album,0.89,0.73,0.7859999999999999,0.61,0.11226666666666668,0.0558,0.379,0.00082,0.0765,0.228,0.49711360418255096,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Show Out (with Skepta & Pop Smoke),Kid Cudi,5CFJRZRq6sdKKtRwNPWbYv,album,0.89,0.83,0.619,0.589,0.10885000000000002,0.124,0.43,0.000392,0.37799999999999995,0.158,0.5914660712340705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Solo Dolo, Pt. III",Kid Cudi,27oVCAziETRbNuo5A8LNpg,album,0.89,0.73,0.589,0.727,0.11511666666666667,0.0866,0.239,0.0277,0.16399999999999998,0.52,0.6470291907199652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Sad People,Kid Cudi,4nuAslShoN77tq12fzwjUq,album,0.89,0.73,0.636,0.647,0.11618333333333333,0.0381,0.247,0.00123,0.113,0.41600000000000004,0.6879765276113712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
