track,artist,album,popularity_score,track_id,track_uri,spotify_link,preview,album_image_large,album_image_small,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,lyrics
Climbing a Wall,Floral,Floral EP,39,2GZLWeDxVyCxDBdVzVjbMi,spotify:track:2GZLWeDxVyCxDBdVzVjbMi,https://open.spotify.com/track/2GZLWeDxVyCxDBdVzVjbMi,https://p.scdn.co/mp3-preview/e9074cec5dbf81b07cf8f6e6d9b202d4104de9bf?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e024ffed723e27ea3d2e7f04747,https://i.scdn.co/image/ab67616d000048514ffed723e27ea3d2e7f04747,0.29,0.751,11,-5.853,1,0.0436,0.0177,0.286,0.089,0.678,151.097,219266,1,
ROXANNE,Arizona Zervas,ROXANNE,88,696DnlkuDOXcMAnKlTgXXK,spotify:track:696DnlkuDOXcMAnKlTgXXK,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,https://p.scdn.co/mp3-preview/17c8499c72603f1a2726dd121eb245c445d1dd84?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02069a93617a916760ab88ffea,https://i.scdn.co/image/ab67616d00004851069a93617a916760ab88ffea,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636,5,"all for the 'gram bitches love the 'gram oh, wait, shit brr, brr (ayy, yeah, yeah, yeah, ayy) brr, brr, brr, ayy skrrt skrrt 94 don't need no brakes, yeah  roxanne, roxanne all she wanna do is party all night goddamn, roxanne never gonna love me, but it's alright she think i'm an asshole, she think i'm a player she keep running back, though, only 'cause i pay up roxanne, roxanne all she wanna do is party all night  met her at a party in the hills, yeah she just wanna do it for the thrill, yeah shorty drive a poodle with no top (top, top) but if i throw this money, she gon' drop, ayy she don't wait in lines if it's too long she don't drive the whip unless the roof off only wanna call when the cash out only take the pic when her ass out  she from malibu, uh, malibu if you ain't got a foreign, then she laugh at you, uh malibu, uh, malibu spending daddy's money with a attitude  roxanne (roxanne), roxanne (roxanne) all she wanna do is party all night goddamn (goddamn), roxanne (roxanne) never gonna love me, but it's alright she think i'm an asshole, she think i'm a player she keep running back, though, only 'cause i pay up roxanne (roxanne), roxanne (roxanne) all she wanna do is party all night  i just wanna have fun  in la, yeah, got no brakes, yeah living fast, ricky bobby, shake and bake, yeah see the chain? yeah, issa lake, yeah swipe the chase, ooh, now she wanna date, yeah straight to nobu on the coast, ooh shorty only like cocaine and whole foods yeah, snappin' all up on the 'gram, ass going crazy (woo) now she wanna fuck me in the foreign, goin' 80  up in malibu, uh, malibu if you ain't got a foreign, then she laugh at you, uh malibu, uh, malibu spending daddy's money with a attitude  roxanne (roxanne), roxanne (roxanne) all she wanna do is party all night (all night, yeah) goddamn (goddamn), roxanne (roxanne) never gonna love me, but it's alright (alright, yeah) she think i'm an asshole, she think i'm a player she keep running back, though, only 'cause i pay up roxanne (roxanne), roxanne (roxanne) all she wanna do is party all night"
I'm God,Clams Casino,Instrumental Relics,63,0FVuyC9RP5MACjp4lgU3qZ,spotify:track:0FVuyC9RP5MACjp4lgU3qZ,https://open.spotify.com/track/0FVuyC9RP5MACjp4lgU3qZ,https://p.scdn.co/mp3-preview/b3b4e58ac20fe9b9eb96f6728cf784f8086b96c3?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e029dd5e36b53cdc72c1780c70a,https://i.scdn.co/image/ab67616d000048519dd5e36b53cdc72c1780c70a,0.529,0.641,2,-6.78,1,0.0336,0.0711,0.76,0.102,0.089,141.927,277711,4,
Thank You,Dido,No Angel,71,3yUcJwYu7fXAfqMj9krY6l,spotify:track:3yUcJwYu7fXAfqMj9krY6l,https://open.spotify.com/track/3yUcJwYu7fXAfqMj9krY6l,https://p.scdn.co/mp3-preview/61c1b2d6f13f53afd872fed81bb56c06eb786b31?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e023e5cbf3b3ac5905cb68377d5,https://i.scdn.co/image/ab67616d000048513e5cbf3b3ac5905cb68377d5,0.725,0.583,1,-9.942,0,0.0424,0.3,0.000215,0.0665,0.765,79.984,218360,4,"my tea's gone cold, i'm wondering why i got out of bed at all the morning rain clouds up my window and i can't see at all and even if i could, it'd all be grey but your picture on my wall it reminds me that it's not so bad it's not so bad  i drank too much last night, got bills to pay my head just feels in pain i missed the bus and there'll be hell today i'm late for work again and even if i'm there, they'll all imply that i might not last the day and then you call me and it's not so bad, it's not so bad  and i want to thank you for giving me the best day of my life oh, just to be with you is having the best day of my life  push the door, i'm home at last and i'm soaking through and through then you handed me a towel and all i see is you and even if my house falls down now i wouldn't have a clue because you're near me  and i want to thank you for giving me the best day of my life oh, just to be with you is having the best day of my life and i want to thank you for giving me the best day of my life oh, just to be with you is having the best day of my life"
BLIND (feat. Young Thug),DaBaby,BLAME IT ON BABY (DELUXE),79,2T5NBwKRySiCR78vVk08vr,spotify:track:2T5NBwKRySiCR78vVk08vr,https://open.spotify.com/track/2T5NBwKRySiCR78vVk08vr,https://p.scdn.co/mp3-preview/0d8eb3d8a247f65d58e4c9098025048a033aeea6?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02e818d05b79be19f4d49f1ebf,https://i.scdn.co/image/ab67616d00004851e818d05b79be19f4d49f1ebf,0.709,0.679,11,-6.503,0,0.346,0.0115,0.0,0.0971,0.754,162.973,153467,4,"yeah, yeah, yeah i've been blind for a while now  i just got the key, they let me in, no id doors openin' up for me and now i see i've been blind for a while now i've been blind for a while now (ayy, i've been blind, hey)  every single goddamn day, a nigga think he next to leak it (next to who?) tomatoes, mustard, mayonnaise nigga better catch up, catch up, catch up, catch up (yup, yup, yup) thankful that my head too hard for me to learn my lesson (my head too goddamn hard) 'cause the way i did it worked out fine, ooh, god you blessed me (amen) probably ain't believe me know a nigga went through hell and back, now he finally on the tv (yeah) now a nigga don't even give a fuck no more, probably think it's easy let you know it ain't easy i fuck her like a bathing ape, she run from the dick like a cheetah (go) two-tone ap watch on, never see me use it for a clock (tick, tock) they see the way he fuckin' up the charts (hmm) i wonder is he ever gon' stop? and he charge a hundred-fifty for the verses now pay it or he never ever drop they noticed that a nigga music versatile wonder if he ever goin' pop? (go)  i just got the key, they let me in, no id doors openin' up for me and now i see i've been blind for a while now (blind) i've been blind for a while now (blind) let's go i just got the key, they let me in, no id doors openin' up for me and now i see i've been blind for a while now i've been blind for a while now  yeah i've been quarantined, livin' with my kiddies tryna teach me how to cha-cha, woah fucked around, left the door open now they know that they can't stop me don't place me in no cop car yeah, i'm off probation, so it's gas i blow i found love in my bitch, so i don't ask no more i can really sit back, ain't gotta pass no dough all of my brothers get loot, i don't got ride with pistols (yeah) they found him dead, he dissed you (woah) ptds, don't you tell me you lost me (woo) fuck all the rest, none them bitches are a nominee go to the head whenever dogs with me die got me riding 'til the sun come, blood on my white 1's  i just got the key, they let me in, no id doors openin' up for me and now i see i've been blind for a while now (blind) yeah, i've been blind for a while now, yeah (let's go) i just got the key, they let me in, no id doors openin' up for me and now i see i've been blind for a while now i've been blind for a while now (yeah)"
Opaul,Freddie Dredd,Pink Lotus,66,4areFtLMjGt4GmO4IAbGo0,spotify:track:4areFtLMjGt4GmO4IAbGo0,https://open.spotify.com/track/4areFtLMjGt4GmO4IAbGo0,https://p.scdn.co/mp3-preview/3ef6e974469be45db50ef3f6ac4276f41f5c7008?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02d03785328284a3947df7bcfc,https://i.scdn.co/image/ab67616d00004851d03785328284a3947df7bcfc,0.815,0.884,1,-4.146,1,0.213,0.00555,0.498,0.0983,0.638,145.031,140488,4,"oh david, não vai não agora que esse som tá ficando bom david, não vai não oh david, não vai não oh david, não vai não agora que esse som tá ficando bom david, não vai não oh david, não vai não  give me all your money give me all your shit i ain't playing games mane you'se a fuckin' name freddie creeping, don't know why this a stickup, now you die ain't no time to stay alive murder once you feel alive if you know i got it, come and get it come back with the heat, bitch you better get ready your big bitch is scared shaking like you ain't aware smoking hella strong, you can smell it in my hair i will never stop, smoking dope gives me fucking hope can you come and guess? bitches flex ain't no fucking test goin' down south with the blunt in my mouth i just copped a one way leave today, it ain't the same why the fuck you tryna play? i ain't playing any games i'm just struggling all alone do not try to hit my phone players running knuckle up 'bout to test my fucking nuts stab 'em once or stab 'em twice murder is so fucking nice  oh david, não vai não agora que esse som tá ficando bom david, não vai não oh david, não vai não oh david, não vai não agora que esse som tá ficando bom david, não vai não oh david, não vai não oh david, não vai não agora que esse som tá ficando bom david, não vai não oh david, não vai não oh david, não vai não agora que esse som tá ficando bom david, não vai não oh david, não vai não"
Roses Remix (feat. Future),SAINt JHN,Roses Remix (feat. Future),71,1KyZ4rUiW2lkqGNLQYKpcC,spotify:track:1KyZ4rUiW2lkqGNLQYKpcC,https://open.spotify.com/track/1KyZ4rUiW2lkqGNLQYKpcC,https://p.scdn.co/mp3-preview/af9080fbaac455c0208afa2c54f830631ddba896?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e021dec94e7819198e1d013f137,https://i.scdn.co/image/ab67616d000048511dec94e7819198e1d013f137,0.941,0.463,8,-5.993,1,0.113,0.0247,5.53e-05,0.192,0.312,127.003,187898,4,"remix off the corner with the money, i got a birds eye cook that shit up, quay saint jhn, pluto hndrxx told lee he'd be a millionaire  roses i walked in the corner with the body screaming dolo never sold a bag but look like pablo in a photo this gon' make 'em feel the way like tony killed manolo you already know though, you already know though i walk in the corner with the money, on my finger she might get it popping, i might wife her for the winter i already know, already know, nigga roses all i need is roses  turn up baby, turn up, when i turn it on (turn up, turn up) you know how i get too lit when i turn it on (turn up, turn up) can't handle my behavior when i turn it on too fast, never ask, if the life don't last done been through it all (woah) fuck with a nigga raw, this who you wanna be (let's go) and i know you won't tell nobody nothing (tell nobody) and i know you won't tell nobody no  roses i might pull up flexing on these niggas like aerobics (wow) i might tell her girl you cute but balling, that shit gorgeous (woah) standing on the table, rosé, rosé, fuck the waters (wow) you know who the god is  turn up baby, turn up, when i turn it on (turn up, turn up) you know how i get too lit when i turn it on (turn up, turn up, turn it on) can't handle my behavior when i turn it on too fast, never ask, if the life don't last done been through it all fuck with a nigga raw, this who you wanna be  i might bring them brooklyn niggas out, oh lord, it's overs i might bring them strippers out and tell 'em do it pole-less you already know, already know, nigga roses kill 'em, make it, turn up baby, turn up, when i- (you already know, you already know)  shawty gon' turn up and get at these bands shawty ain't stingy, she brought me a friend check up the temperature, i flip all this cash fuck up a check, did a flex on the bitch after talkin' the shit, i'ma flex on his ho canary yellow, baguettes with the glow question his audemars, vvs froze turn it up, green light, everything go need interpreters, i don't even talk to you hoes i need a translator for these hoes i got so many exotics, i'm standing abroad ice, baguettie-o's, yes (ice), bad, bad bitches, so cold (you already know) beat up the pot, she came with a key (you already know) emilio pucci keep all the secrets (you already know) solitary diamonds, solitary ready to go slide in the bank chopper say nah-nah, my bitches complain omertá for the campaign ('mertá, 'mertá)  turn up baby, turn up, when i turn it on (keep a lotta drugs) you know how i get too lit when i turn it on (got a couple models) can't handle my behavior when i turn it on too fast, never ask, if the life don't last done been through it all fuck with a nigga raw, this who you wanna be and i know you won't tell nobody nothing and i know you won't tell nobody no roses"
Many Men,21 Savage,SAVAGE MODE II,75,3CDVMejYHnB1SkEEx0T1N4,spotify:track:3CDVMejYHnB1SkEEx0T1N4,https://open.spotify.com/track/3CDVMejYHnB1SkEEx0T1N4,https://p.scdn.co/mp3-preview/850704c41a453d9a4edf640cc8644ac57b64b670?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02aa57907bf0cb2ca0c8cc74bc,https://i.scdn.co/image/ab67616d00004851aa57907bf0cb2ca0c8cc74bc,0.635,0.793,10,-4.333,0,0.0322,0.000647,0.747,0.113,0.281,77.594,201856,4,"metro ayy, ayy, ayy, ayy, ayy, ayy  i kept it solid the whole time (ayy) i ain't never, ever play both sides (ayy) east side nigga 'bout gunfire (ayy) pull up in a van and the door slide (ayy) we ain't never throwin' no white flag (straight up) gotta get smoke when the bros die (straight up) they gon' spin 'til the car hot (straight up) don't call my phone 'til some more die new maybach, i don't need no key i was in the dirt, you didn't believe in me my attention span too short don't wait for pussy, you teasin' me bad lil' vibe, she pleasin' me spend a whole m, yeah, easily i get the cash and put it up fast i think i got jb in me edge of the bed, she sit up (ayy) suckin' on me 'til she got hiccups (yeah) back in the day i did stickups (ayy) favorite hotbox was a pick up (yeah) say you want smoke, don't pick us (21) face shot, now you can't get up (21) candlelight gang, nigga, shut up (21) we known for shootin' shit the fuck up (21)  hundred large in these amiris, they all crippy (blue) i got vibes eatin' addys off ass and titties (loose) when there's smoke, we pull our stickies and they call the pd (pussy) many men wanna kill me, dawg, i feel like 50 (pussy) i got small fries want my spot, tryna defeat me (pussy) i got real model bitches tryna r&b me (pussy) all that cap inside your raps, i ain't even play your cd (21) we don't go back and forth on the internet, we put niggas on tv (big facts)  i got your bitch and her bb (big facts) hit her in the shower, mimi (big facts) next day she tryna see me (straight up) told her i'm blind, stevie (stevie) nice girls can't even keep me (never) need a bad girl like riri (yeah, yeah) we don't pump fake, we kill beef (21) 21 savage, not jeezy (pussy) i got your bitch in the 'yo (i do) she in the hills on the coke (she is) i pull it out of my pants (i did) she put it right in her throat (she did) fish scales smellin' like polish (you dig?) they brought it right off the boat (you dig?) front door, back door king i done probably robbed your bro (i did) come up with a plan, better huddle (21) left wrist lookin' like a puddle (21) when i'm in the street, it's trouble (21) that's why i stay in my bubble (i do) brand new rari so fast, when i stomp the pedal to the floor, it stutter (skrrt) i ain't use a rubber and i make eggs, that's why i'm chasin' this butter (on god)  hundred large in these amiris, they all crippy (blue) i got vibes eatin' addys off ass and titties (loose) when there's smoke, we pull our stickies and they call the pd (pussy) many men wanna kill me, dawg, i feel like 50 (pussy) i got small fries want my spot, tryna defeat me (pussy) i got real model bitches tryna r&b me (pussy) all that cap inside your raps, i ain't even play your cd (21) won't go back and forth on the internet, we put niggas on tv (big facts)  when there's smoke, we pull our stickies and they call the pd many men wanna kill me, dawg, i feel like 50 many men wanna kill me, dawg, i feel like 50 many men wanna kill me, dawg, i feel like 50  many men wish death upon— many men wish death upon— many men wish death upon me blood in my eye, dawg, and i can't see i'm tryin' to be what i'm destined to be and niggas tryin' to take my life away  the evil man envies the good in others what this means is all hatred is really born from hatred of self and can only serve to aid in one's own destruction this is the downfall of many men"
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",88,2MbdDtCv5LUVjYy9RuGTgC,spotify:track:2MbdDtCv5LUVjYy9RuGTgC,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC,https://p.scdn.co/mp3-preview/3748f897bbea6068b383ea857ace01b9a5236a06?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02b5f0a8d46cef9647548c64dc,https://i.scdn.co/image/ab67616d00004851b5f0a8d46cef9647548c64dc,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,227478,4,"back with the remix these boys all my sons like phoenix (pooh, you a fool for this one) my city and state never ever seen this jimmy neutron, i'm a young boy genius (oh lord, jetson made another one) on the futon, i'ma give her that penis when this shit's done, i'ma fill up arenas ooh, like gilbert arenas shoot my shot, i'm still with the demons, ooh i keep it thorough i got five chicks in new york, that means one in each borough i'm in the pocket like burrow when i'm back home, though, they treat me like robert de niro took her to taco bell, bought her a churro took her home, gave her a cinnamon swirl i left it in, now i got a one-year-old zeros on zeros on zeros (zeros) that's what my bank account balance say (woo) i got a check from the shoe company now i do anything that new balance say i bought her a plane ticket, out of state i got me a shorty from 'round the way said, ""i'm in town today"" she said she comin' over and she down to stay i got a hit, she been playin' that shit so when she pull up on me i know what she 'bout to say  what's poppin'? brand new whip, just hopped in (just hopped in) i got options i could pass that bitch like stockton (it ain't nothin') just joshin' (oh, these niggas got me fucked up, nigga) i'ma spend this holiday locked in (ooh, you know, it's like) my body got rid of them toxins (let me go, mmh, mmh) sportscenter, top ten  call up my bitch, tell her, ""bring me that noggin"" (brrt) brain real good, she a scholar i like the thing with low mileage, good brain with no college call me dababy, no toddler (wah) i'm real creative and stylish, f&n in my denim i send a hit, make him spin 'em and i just flew back from l.a. on the jet yesterday (nyoom) i go back and forth like i play tennis i fuck with your ho, yeah, i'm fit for it still on the billboard, the number one song in uk and i done got so fuckin' rich, all these hoes on my dick i still don't give a fuck what you say she eat it like a pac-man, nigga (eat it) whoop a nigga like i'm batman, nigga (eat it) i just pulled up in the batmobile (nyoom) the reason i ain't fuckin' with these rap-ass niggas 'cause they cap-ass niggas (cap), and they raps ain't real (cap) believe me, you wanna keep your life, then take it easy i'm rockin' water diamonds, need a squeegee these niggas watered down, they drinkin' fiji my whip is orange and brown like i'm in cleveland my bitch is mello yello like a soda (soda) these niggas tattletalers, i'm a soldier ayy, somebody tell them niggas that it's over you know it's baby, nigga  what's poppin'? (poppin') brand new whip, just hopped in (woo, hahaha) i got options (ayy) i could pass that bitch like stockton (uh)  hop out that scat and i caught her i'm out here with somebody daughter she callin' me daddy, i'm somebody father i gotta go gets it, i will not go kiss it or put my lips on it like somebody water the diamond, the glacier, the card in the wallet she pulled up to fuck me but nobody caught her she told me that she wasn't feelin' my music i fucked her, she told me, ""it's nobody harder"" and i'm with the g-ski, i need that shit for the freeski we are not buyin' no pussy you sellin' on peachtree it's so much work on my celly i had to go tell all my bitches, ""email it to reach me"" all in my dm, i'll follow your bm she play with the croski, we used to fuck on the lowski she use to lie on my bed and go lie to your face and say i'm just a broski, nigga, you knows me you ain't believe it, you wanted to toast me i had extendi as long as a ruler in case you was coolin' and wanna approach me dropped the bentayga, came back in the cullinan she wanna fuck again, i want that tongue again stuck it so deep that she cough up her lung again five-star bitches, they on the run again, run again runnin' in diamonds, they illuminatin' the way that i come again i just put so many pennies on the watch that i don't ever got to stunt again, nigga, lil' tory  what's poppin'? (canada) brand new whip, just hopped in (just hopped in) i got options i could pass that bitch like stockton (it ain't nothin') just joshin' i'ma spend this holiday locked in (ooh, man, i just caught a drink) my body got rid of them toxins (like, fuck, mmh, mmh) sportscenter, top ten  uh, what's brackin'? (woo) brand new whip, new mansion (brrp) brand new tips, new dancers (yeah) same old dick, new magnums (oh) same old shit, new maggots (yeah) same old throne, new dragons (uh) same old strong, new ashes (yeah) i could pass that bitch like magic, yeah (oh, oh) i ain't cappin', i'm lit, i'm active, yeah (yeah) lil' five in that bitch like paxson, yeah (yeah) gonna drown in this milk like apple jacks i sell a bitch dreams, put tax on that lil' slime in that bitch, that's slatt for slatt (yeah) obama, presidential rollie, that's black on black (yeah) got ninety-nine problems and the bitch ain't one yeah, numbers don't lie, this the aftermath (yeah) yeah, what's poppin'? (poppin') brand new phone, just dropped it (uh) um, fuck it, i got options i bust down couple apple watches (hello) i could put the ball in the end zone put a bad bitch and her friends on, ooh, ooh i'ma bust all on the skin tone i be masked up, ask ken jeong, ooh, ooh dark-haired bitches like shego (pew) i like 'em blonde like me though (yeah) although i'm don corleone (brrat) i will still slide like neo, uh (hello) kief all around my pre-roll (yeah) new orleans, nigga, i'm creole she said, ""babe, does it hurt when i deepthroat?"" i just better not feel your teeth, ho  what's poppin'? (poppin') brand new whip, just hopped in (just hopped in) i got options i could pass that bitch like stockton (it ain't nothin') just joshin' i'ma spend this holiday locked in (ooh) my body got rid of them toxins (mmh, mmh) sportscenter, top ten"
Do My Dance,Tyga,Do My Dance,56,7Hk12JkCFwLO4s1jRGBS6s,spotify:track:7Hk12JkCFwLO4s1jRGBS6s,https://open.spotify.com/track/7Hk12JkCFwLO4s1jRGBS6s,https://p.scdn.co/mp3-preview/05afc686308b60b75cbbef5ff9b941ea00cee02c?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e028dd3aa839f21c4619f84c0f9,https://i.scdn.co/image/ab67616d000048518dd3aa839f21c4619f84c0f9,0.838,0.618,9,-5.187,1,0.0805,0.00357,0.00166,0.132,0.746,153.95,214293,4,"fuck this pussy boy, fuck it! (fuck it right boy!) you know i love it when you (fuck it, fuck it right boy)  do my dance on your dick ooh, you know, you love this shit do my dance on your dick ooh, you know, you love this shit do my dance on your dick ooh, you know, you love this shit do my dance on your dick ooh, you know, you love this shit do my dance on your chick ooh, you know, she love the dick (fuck it right, boy) do my dance on your chick ooh, you know, she love the dick (fuck it, fuck it right, boy) do my dance on your chick ooh, you know, she love the dick (fuck it right, boy) do my dance on your chick ooh, you know, she love the dick (fuck it, fuck it right, boy)  lamborghini, you don't even see me bad bitch, no bikini taking shots of henny order calamari, say she want that fettucini 5 star bitches, my bitches don't eat at denny's run the city, you runnin' laps trying to get with me i'm all in her red skin, like i play for washington i'm five eight, but six ten, my dick stand like superman shoulder lean that bitch, shoulder lean that bitch mills cause i'm hot, trigger finger keep that pussy wet bills in my fists, shorty she gon' dance on my dick mills cause i'm hot, trigger finger keep that pussy wet bills in my fists, shorty she gon' dance on my dick  do my dance on your dick ooh, you know, you love this shit do my dance on your dick ooh, you know, you love this shit do my dance on your dick ooh, you know, you love this shit do my dance on your dick ooh, you know, you love this shit do my dance on your chick ooh, you know, she love the dick (fuck it right, boy) do my dance on your chick ooh, you know, she love the dick (fuck it, fuck it right, boy) do my dance on your chick ooh, you know, she love the dick (fuck it right, boy) do my dance on your chick ooh, you know, she love the dick (fuck it, fuck it right, boy)  she got her booty cheeks on my louis sheets she can do it on a pole, but can she do it on me her flexing ass, let me see you flex that ass i don't call i just text that ass and buy special bags python, all gold no ice on nothing but shaved pussy in my iphone and this right here a no fly zone and you are not us, so don't try, holm' i buy cars, i buy homes, my antidote for my catapult i'm up through there, foreign shoes, these a new pair chains on, this two pair, make your girl buy new hair wear that pussy out, like new gear, ho  do my dance on your dick ooh, you know, you love this shit do my dance on your dick ooh, you know, you love this shit do my dance on your dick ooh, you know, you love this shit do my dance on your dick ooh, you know, you love this shit do my dance on your chick ooh, you know, she love the dick (fuck it right, boy) do my dance on your chick ooh, you know, she love the dick (fuck it, fuck it right, boy) do my dance on your chick ooh, you know, she love the dick (fuck it right, boy) do my dance on your chick ooh, you know, she love the dick (fuck it, fuck it right, boy)  fuck yeah bitch, throw it back (fuck it right, boy) don't be scared of it fuck yeah bitch, throw it back (fuck it, fuck it right, boy) don't be scared of it fuck yeah bitch, throw it back (fuck it right, boy) don't be scared of it fuck yeah bitch, throw it back (fuck it, fuck it right, boy) throw it back (fuck it right, boy) throw it back (fuck it, fuck it right, boy) throw it back (fuck it right, boy) don’t be scared of it (fuck it, fuck it right, boy)  do my dance on your dick ooh, you know, you love this shit do my dance on your dick ooh, you know, you love this shit do my dance on your dick ooh, you know, you love this shit do my dance on your dick ooh, you know, you love this shit do my dance on your chick ooh, you know, she love the dick (fuck it right, boy) do my dance on your chick ooh, you know, she love the dick (fuck it, fuck it right, boy) fuck it right, boy fuck it, fuck it right, boy"
