track,artist,data_type,popularity_artist,popularity_song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,key,time_signature,release_date,alternative,baltic_slavic,bluegrass,blues,celtic,country,dance,disco,edm,electro,english,folk,germanic,hip hop,house,jam band,jazz,other,piano,pop,psychedelic,punk,r&b,rap,reggae,rock,romance,soul,south_american,swing,techno,trance
JustYourSoul - Tchami Remix,Valentino Khan,user_library,64,48.0,0.749,0.846,-3.441,0.0932,0.00403,0.00525,0.0382,0.532,124.935,1,2,4,2020-01-10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Moving Men,Myd,user_library,57,60.0,0.815,0.661,-8.208,0.0996,0.106,0.266,0.284,0.699,124.991,1,10,3,2020-10-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Sonate Pacifique,L'Impératrice,user_library,63,63.0,0.558,0.538,-8.853,0.0327,0.629,0.0198,0.424,0.254,99.992,1,5,4,2014-09-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Casio,Jungle,user_library,66,67.0,0.816,0.492,-7.464,0.0752,0.431,0.0896,0.0995,0.765,115.989,0,10,4,2018-09-14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Music Is My Hot, Hot Sex",CSS,user_library,46,0.0,0.742,0.723,-5.62,0.0441,0.0137,0.00127,0.061,0.927,100.016,0,8,4,2007-01-22,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nanã,Polo & Pan,user_library,67,68.0,0.685,0.735,-6.337,0.0334,0.191,0.038,0.188,0.385,94.035,0,4,3,2017-05-19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Ona Ona,Ehrling,user_library,63,57.0,0.624,0.902,-5.358,0.0525,0.16,0.00667,0.063,0.572,119.885,1,1,4,2019-06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talk to Me,Myd,user_library,57,29.0,0.712,0.792,-8.485,0.0487,0.057,0.868,0.083,0.528,119.999,0,10,4,2019-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Bouncer,Myd,user_library,57,25.0,0.755,0.962,-9.16,0.0481,0.0226,0.77,0.125,0.521,123.993,0,6,4,2019-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
All Inclusive,Myd,user_library,57,45.0,0.596,0.887,-6.55,0.0446,0.00701,0.728,0.104,0.611,167.993,0,11,4,2017-10-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
