track,artist,data_type,popularity_artist,popularity_song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,alternative,baltic_slavic,bluegrass,blues,celtic,country,dance,disco,edm,electro,english,folk,germanic,hip hop,house,jam band,jazz,other,piano,pop,psychedelic,punk,r&b,rap,reggae,rock,romance,soul,south_american,swing,techno,trance,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,release_date_2000s,release_date_60s,release_date_70s,release_date_80s,release_date_90s,release_date_Post_2010s,time_signature_1,time_signature_3,time_signature_4,time_signature_5
JustYourSoul - Tchami Remix,Valentino Khan,user_library,0.64,0.48,0.7490000000000001,0.846,0.057350000000000005,0.0932,0.00403,0.00525,0.0382,0.532,0.46238835638819303,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Moving Men,Myd,user_library,0.57,0.6,0.815,0.6609999999999999,0.1368,0.0996,0.106,0.266,0.284,0.6990000000000001,0.4627695784772901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Sonate Pacifique,L'Impératrice,user_library,0.63,0.63,0.5579999999999999,0.5379999999999999,0.14755,0.0327,0.629,0.0198,0.424,0.254,0.29258795338198457,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Casio,Jungle,user_library,0.66,0.67,0.816,0.49200000000000005,0.1244,0.0752,0.431,0.0896,0.0995,0.765,0.4014881276549395,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"Music Is My Hot, Hot Sex",CSS,user_library,0.46,0.0,0.742,0.723,0.09366666666666666,0.0441,0.0137,0.0012699999999999999,0.061,0.927,0.29275133427731187,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Nanã,Polo & Pan,user_library,0.67,0.68,0.685,0.735,0.10561666666666668,0.0334,0.191,0.038,0.188,0.385,0.252035453654286,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Ona Ona,Ehrling,user_library,0.63,0.57,0.624,0.902,0.08929999999999999,0.0525,0.16,0.006670000000000001,0.063,0.5720000000000001,0.42801029299640564,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Talk to Me,Myd,user_library,0.57,0.29,0.7120000000000001,0.792,0.14141666666666666,0.0487,0.057,0.868,0.083,0.528,0.4287863522492103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
The Bouncer,Myd,user_library,0.57,0.25,0.755,0.9620000000000001,0.15266666666666667,0.0481,0.0226,0.77,0.125,0.521,0.45597565624659625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
All Inclusive,Myd,user_library,0.57,0.45,0.596,0.887,0.10916666666666666,0.0446,0.00701,0.728,0.10400000000000001,0.611,0.7555072976799913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
